Network: c10-bpga-mlp
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Dense(ReLU), shape:[256], parameters:786688, memory:6.0 MB
Dense(ReLU), shape:[128], parameters:32896, memory:257.0 KB
Dense(softmax), shape:[10], parameters:1290, memory:10.1 KB

Learning rate: 0.001

BP only (MLP), best validation set accuracy=0.5232 (165 epochs)

BP only (MLP), best test set accuracy=0.5209 (150 epochs)
Total values needed to encode all trainable parameters: 820874
Evolving 50 members for 200 generations...
Generation   1, time: 22m 28s, fitness max: 0.475100, min: 0.133200, mean: 0.383032
Generation   2, time: 20m 00s, fitness max: 0.475100, min: 0.135500, mean: 0.381254
Generation   3, time: 37m 13s, fitness max: 0.475100, min: 0.212100, mean: 0.390884
Generation   4, time: 34m 46s, fitness max: 0.475100, min: 0.155400, mean: 0.391072
Generation   5, time: 32m 18s, fitness max: 0.475100, min: 0.219200, mean: 0.406402
Generation   6, time: 24m 56s, fitness max: 0.475100, min: 0.130800, mean: 0.385910
Generation   7, time: 17m 33s, fitness max: 0.475100, min: 0.204300, mean: 0.375040
Generation   8, time: 29m 52s, fitness max: 0.475100, min: 0.201500, mean: 0.384270
Generation   9, time: 22m 27s, fitness max: 0.475100, min: 0.165500, mean: 0.401112
Generation  10, time: 29m 50s, fitness max: 0.476900, min: 0.212000, mean: 0.409618
Generation  11, time: 20m 00s, fitness max: 0.476900, min: 0.267700, mean: 0.396344
Generation  12, time: 24m 55s, fitness max: 0.476900, min: 0.194200, mean: 0.400470
Generation  13, time: 15m 05s, fitness max: 0.476900, min: 0.254600, mean: 0.393748
Generation  14, time: 24m 54s, fitness max: 0.476900, min: 0.217500, mean: 0.398738
Generation  15, time: 24m 55s, fitness max: 0.476900, min: 0.162800, mean: 0.413138
Generation  16, time: 22m 28s, fitness max: 0.476900, min: 0.245200, mean: 0.421228
Generation  17, time: 10m 09s, fitness max: 0.476900, min: 0.217600, mean: 0.405064
Generation  18, time: 19m 59s, fitness max: 0.478600, min: 0.216500, mean: 0.410932
Generation  19, time: 22m 27s, fitness max: 0.478600, min: 0.137700, mean: 0.407918
Generation  20, time: 15m 20s, fitness max: 0.478600, min: 0.171100, mean: 0.388678
Generation  21, time: 24m 54s, fitness max: 0.478900, min: 0.194100, mean: 0.400894
Generation  22, time: 20m 00s, fitness max: 0.478900, min: 0.167500, mean: 0.401812
Generation  23, time: 39m 41s, fitness max: 0.478900, min: 0.121500, mean: 0.395446
Generation  24, time: 22m 26s, fitness max: 0.479200, min: 0.263400, mean: 0.411528
Generation  25, time: 42m 12s, fitness max: 0.479200, min: 0.204200, mean: 0.413772
Generation  26, time: 29m 51s, fitness max: 0.479200, min: 0.235100, mean: 0.405126
Generation  27, time: 19m 59s, fitness max: 0.479200, min: 0.206700, mean: 0.409566
Generation  28, time: 24m 56s, fitness max: 0.479200, min: 0.186500, mean: 0.382640
Generation  29, time: 29m 51s, fitness max: 0.479200, min: 0.170900, mean: 0.393604
Generation  30, time: 20m 00s, fitness max: 0.479200, min: 0.177900, mean: 0.395424
Generation  31, time: 27m 23s, fitness max: 0.479200, min: 0.186100, mean: 0.399510
