CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 1, time: 21.70 secs (speed 2007.3), loss (CCE): 84844.8281, validation accuracy: 0.3069
epoch: 2, time: 26.38 secs (speed 1574.4), loss (CCE): 68184.1875, validation accuracy: 0.4235
epoch: 3, time: 14.84 secs (speed 2731.7), loss (CCE): 61305.5859, validation accuracy: 0.4650
epoch: 4, time: 6.85 secs (speed 6285.7), loss (CCE): 56724.9844, validation accuracy: 0.4735
epoch: 5, time: 6.80 secs (speed 6299.9), loss (CCE): 53525.8477, validation accuracy: 0.5166
epoch: 6, time: 6.83 secs (speed 6318.4), loss (CCE): 50964.2812, validation accuracy: 0.5391
epoch: 7, time: 6.82 secs (speed 6323.4), loss (CCE): 48839.0781, validation accuracy: 0.5643
epoch: 8, time: 7.02 secs (speed 6138.5), loss (CCE): 47207.8711, validation accuracy: 0.5867
epoch: 9, time: 7.63 secs (speed 5575.8), loss (CCE): 45940.2695, validation accuracy: 0.5743
epoch: 10, time: 7.68 secs (speed 5575.1), loss (CCE): 44704.0938, validation accuracy: 0.5937
epoch: 11, time: 7.58 secs (speed 5623.6), loss (CCE): 43718.0117, validation accuracy: 0.5933
epoch: 12, time: 7.30 secs (speed 5815.5), loss (CCE): 42755.0938, validation accuracy: 0.5908
epoch: 13, time: 6.90 secs (speed 6268.6), loss (CCE): 41929.0625, validation accuracy: 0.6128
epoch: 14, time: 6.90 secs (speed 6232.6), loss (CCE): 41247.5273, validation accuracy: 0.6220
epoch: 15, time: 7.58 secs (speed 5646.5), loss (CCE): 40568.2539, validation accuracy: 0.6211
epoch: 16, time: 7.58 secs (speed 5635.8), loss (CCE): 40004.5898, validation accuracy: 0.6230
epoch: 17, time: 7.61 secs (speed 5648.1), loss (CCE): 39475.4141, validation accuracy: 0.6285
epoch: 18, time: 7.63 secs (speed 5597.6), loss (CCE): 38948.1875, validation accuracy: 0.6351
epoch: 19, time: 7.65 secs (speed 5566.0), loss (CCE): 38442.8672, validation accuracy: 0.6298
epoch: 20, time: 7.07 secs (speed 6061.9), loss (CCE): 38044.0859, validation accuracy: 0.6337
epoch: 21, time: 6.81 secs (speed 6316.5), loss (CCE): 37516.5898, validation accuracy: 0.6263
