fitness max,fitness min,fitness mean
0.305763,0.11855,0.210041
0.318968,0.120285,0.212172
0.344608,0.113201,0.21409
0.348033,0.126471,0.22008
0.359353,0.125899,0.221888
0.358472,0.116029,0.230403
0.365346,0.11594,0.23262
0.375283,0.129561,0.23928
0.375283,0.134912,0.240724
0.375283,0.138679,0.247374
0.375283,0.14023,0.249618
0.372552,0.122973,0.24948
0.376655,0.149174,0.261195
0.393904,0.148629,0.264886
0.393904,0.16157,0.264243
0.393904,0.157312,0.27426
0.393904,0.168912,0.27558
0.400834,0.176394,0.278512
0.400834,0.140022,0.284744
0.400834,0.187651,0.28082
0.400834,0.197283,0.283559
0.400834,0.185953,0.288344
0.400834,0.160989,0.286093
0.400834,0.179156,0.291919
0.401315,0.178651,0.291019
0.409571,0.190421,0.295294
0.409571,0.180677,0.295162
0.409571,0.182209,0.295351
0.409571,0.210163,0.298433
0.409571,0.18752,0.296581
0.409571,0.212904,0.302065
0.409571,0.203782,0.300099
0.411042,0.19989,0.30376
0.409571,0.205327,0.301656
0.410552,0.168912,0.308213
0.410552,0.199339,0.304403
0.416472,0.206315,0.312985
0.416472,0.213922,0.309379
0.416472,0.195651,0.313999
0.433875,0.197967,0.315979
0.433875,0.231974,0.322328
0.433875,0.230889,0.321937
0.433875,0.23778,0.324724
0.433875,0.243701,0.322101
0.433875,0.214797,0.316707
0.433875,0.200166,0.323017
0.433875,0.211746,0.321568
0.433875,0.211746,0.323097
0.433619,0.214651,0.32375
0.433619,0.21045,0.320376
0.438251,0.227657,0.322091
0.438251,0.216408,0.325708
0.438251,0.159602,0.3238
0.438251,0.211025,0.322788
0.440063,0.233532,0.330245
0.440063,0.221003,0.321285
0.440063,0.225067,0.328521
0.455043,0.217882,0.335353
0.455043,0.217587,0.335673
0.455043,0.212759,0.328707
0.455043,0.219661,0.329169
0.455043,0.208731,0.333745
0.455043,0.212904,0.333283
0.455043,0.214067,0.336646
0.455043,0.222651,0.338759
0.455043,0.211458,0.335939
0.455043,0.221451,0.340921
0.455043,0.245484,0.343869
0.459857,0.256401,0.345303
0.459857,0.224461,0.341221
0.459857,0.235255,0.347874
0.459857,0.226893,0.346749
0.459857,0.227198,0.348756
0.459857,0.229038,0.352427
0.459857,0.215528,0.352543
0.462819,0.242572,0.356934
0.462819,0.225826,0.355311
0.462819,0.232908,0.356294
0.462819,0.22781,0.356905
0.462819,0.267181,0.36473
0.462819,0.23778,0.359735
0.462819,0.256738,0.362157
0.462819,0.26372,0.362846
0.479522,0.22781,0.365755
0.479522,0.23557,0.365065
0.479522,0.250729,0.36989
0.479522,0.225978,0.36646
0.470154,0.274567,0.362116
0.466882,0.263893,0.36443
0.466882,0.288163,0.370325
0.466882,0.228423,0.364907
0.466882,0.275101,0.364793
0.466882,0.264065,0.369144
0.468516,0.23683,0.370096
0.472894,0.285035,0.373015
0.471522,0.271558,0.365084
0.473993,0.270678,0.370367
0.473993,0.277065,0.371413
0.473993,0.263376,0.37042
0.477581,0.25422,0.371489
