Network: mnist-bpga-cnn
Input, shape:[28,28], parameters: 0, memory:3.1 KB
Conv2D(ReLU), shape:[24,24,6] (k:5,s:1,pad:no), parameters:150, memory:14.7 KB
Maxpool2D shape:[12,12,6] (k:2,s:2), parameters:0, memory:3.4 KB
Conv2D(ReLU), shape:[8,8,16] (k:5,s:1,pad:no), parameters:2400, memory:22.8 KB
Maxpool2D shape:[4,4,16] (k:2,s:2), parameters:0, memory:1.0 KB
Conv2D(ReLU), shape:[1,120] (k:4,s:1,pad:no), parameters:30720, memory:240.5 KB
Dense(ReLU), shape:[84], parameters:10164, memory:79.4 KB
Dense(softmax), shape:[10], parameters:850, memory:6.6 KB

Mutation probability: 0.2
Learning rate: 0.1

SEED=48
1 epochs, accuracy: training=0.98244, validation=0.9813, test=0.983
2 epochs, accuracy: training=0.9856, validation=0.9827, test=0.9843
3 epochs, accuracy: training=0.9905, validation=0.9838, test=0.9866
4 epochs, accuracy: training=0.99148, validation=0.9873, test=0.9878
5 epochs, accuracy: training=0.99128, validation=0.9866, test=0.988
6 epochs, accuracy: training=0.99322, validation=0.9871, test=0.9887
7 epochs, accuracy: training=0.99046, validation=0.9862, test=0.9849
8 epochs, accuracy: training=0.99332, validation=0.9871, test=0.9886
9 epochs, accuracy: training=0.99498, validation=0.9891, test=0.9886
10 epochs, accuracy: training=0.99382, validation=0.9874, test=0.9874
11 epochs, accuracy: training=0.99146, validation=0.9871, test=0.9853
12 epochs, accuracy: training=0.99502, validation=0.9871, test=0.9863
13 epochs, accuracy: training=0.99596, validation=0.9877, test=0.9877
14 epochs, accuracy: training=0.9981, validation=0.9904, test=0.9898
15 epochs, accuracy: training=0.9966, validation=0.9902, test=0.9894
16 epochs, accuracy: training=0.99802, validation=0.9895, test=0.9902
17 epochs, accuracy: training=0.99736, validation=0.9908, test=0.9884
18 epochs, accuracy: training=0.99796, validation=0.9883, test=0.9895
19 epochs, accuracy: training=0.99666, validation=0.9891, test=0.9887
20 epochs, accuracy: training=0.99718, validation=0.9885, test=0.9881
21 epochs, accuracy: training=0.99696, validation=0.9888, test=0.9891
22 epochs, accuracy: training=0.99666, validation=0.9874, test=0.9871
23 epochs, accuracy: training=0.9956, validation=0.9878, test=0.9858
24 epochs, accuracy: training=0.99892, validation=0.9908, test=0.9889
25 epochs, accuracy: training=0.99822, validation=0.9892, test=0.9886
26 epochs, accuracy: training=0.99888, validation=0.9902, test=0.9899
27 epochs, accuracy: training=0.99738, validation=0.9882, test=0.9868
28 epochs, accuracy: training=0.99742, validation=0.9886, test=0.9875
29 epochs, accuracy: training=0.99782, validation=0.9894, test=0.9884
30 epochs, accuracy: training=0.9985, validation=0.9893, test=0.9896
