Network: mnist-bpga-mlp
Input, shape:[28,28], parameters: 0, memory:3.1 KB
Dense(ReLU), shape:[64], parameters:50240, memory:392.5 KB
Dense(softmax), shape:[10], parameters:650, memory:5.1 KB

Mutation probability: 0.2
Learning rate: 0.3

SEED=48
5 epochs, accuracy: training=0.90998, validation=0.9106, test=0.9106
10 epochs, accuracy: training=0.92774, validation=0.927, test=0.9229
15 epochs, accuracy: training=0.94098, validation=0.9388, test=0.9335
20 epochs, accuracy: training=0.94448, validation=0.9417, test=0.9375
25 epochs, accuracy: training=0.9446, validation=0.9417, test=0.9376
30 epochs, accuracy: training=0.94444, validation=0.9395, test=0.9368
35 epochs, accuracy: training=0.94578, validation=0.9409, test=0.9365
40 epochs, accuracy: training=0.94946, validation=0.9426, test=0.9363
45 epochs, accuracy: training=0.9493, validation=0.9412, test=0.9355
50 epochs, accuracy: training=0.95216, validation=0.9409, test=0.9389
55 epochs, accuracy: training=0.95026, validation=0.9419, test=0.9354
60 epochs, accuracy: training=0.9495, validation=0.939, test=0.9355
65 epochs, accuracy: training=0.9452, validation=0.9356, test=0.9325
70 epochs, accuracy: training=0.94722, validation=0.9388, test=0.9319
75 epochs, accuracy: training=0.94478, validation=0.9349, test=0.929
80 epochs, accuracy: training=0.9533, validation=0.9417, test=0.9345
85 epochs, accuracy: training=0.94724, validation=0.9377, test=0.933
90 epochs, accuracy: training=0.94458, validation=0.9352, test=0.9273
95 epochs, accuracy: training=0.94348, validation=0.9335, test=0.927
100 epochs, accuracy: training=0.9441, validation=0.9342, test=0.9274
105 epochs, accuracy: training=0.94994, validation=0.9375, test=0.9305
110 epochs, accuracy: training=0.9482, validation=0.937, test=0.9304
115 epochs, accuracy: training=0.94974, validation=0.9363, test=0.9312
120 epochs, accuracy: training=0.9478, validation=0.9352, test=0.9288
125 epochs, accuracy: training=0.9451, validation=0.9324, test=0.9278
130 epochs, accuracy: training=0.94844, validation=0.9353, test=0.928
135 epochs, accuracy: training=0.95008, validation=0.9358, test=0.9299
140 epochs, accuracy: training=0.94918, validation=0.9354, test=0.9286
145 epochs, accuracy: training=0.95712, validation=0.9402, test=0.9351
150 epochs, accuracy: training=0.95466, validation=0.9372, test=0.9336
155 epochs, accuracy: training=0.95184, validation=0.9373, test=0.9309
160 epochs, accuracy: training=0.95436, validation=0.9393, test=0.9325
165 epochs, accuracy: training=0.955, validation=0.9383, test=0.932
170 epochs, accuracy: training=0.95082, validation=0.9348, test=0.9287
175 epochs, accuracy: training=0.95632, validation=0.9399, test=0.9322
180 epochs, accuracy: training=0.95536, validation=0.9389, test=0.9327
185 epochs, accuracy: training=0.95402, validation=0.9366, test=0.9318
190 epochs, accuracy: training=0.95602, validation=0.9381, test=0.9317
195 epochs, accuracy: training=0.95764, validation=0.9393, test=0.9336
200 epochs, accuracy: training=0.95706, validation=0.9381, test=0.9314
205 epochs, accuracy: training=0.95726, validation=0.9389, test=0.9337
210 epochs, accuracy: training=0.95954, validation=0.9408, test=0.934
215 epochs, accuracy: training=0.95726, validation=0.9379, test=0.9333
220 epochs, accuracy: training=0.95716, validation=0.9374, test=0.9329
225 epochs, accuracy: training=0.95518, validation=0.9343, test=0.9307
230 epochs, accuracy: training=0.95394, validation=0.9344, test=0.929
235 epochs, accuracy: training=0.9576, validation=0.9375, test=0.931
240 epochs, accuracy: training=0.95708, validation=0.9348, test=0.9319
245 epochs, accuracy: training=0.95436, validation=0.934, test=0.9296
250 epochs, accuracy: training=0.9596, validation=0.9392, test=0.933
255 epochs, accuracy: training=0.95848, validation=0.9363, test=0.9315
260 epochs, accuracy: training=0.9527, validation=0.9319, test=0.9274
265 epochs, accuracy: training=0.95704, validation=0.9346, test=0.9305
270 epochs, accuracy: training=0.95664, validation=0.9356, test=0.9302
275 epochs, accuracy: training=0.95582, validation=0.9353, test=0.9307
280 epochs, accuracy: training=0.9549, validation=0.9331, test=0.9309
285 epochs, accuracy: training=0.95826, validation=0.936, test=0.9315
290 epochs, accuracy: training=0.95812, validation=0.9368, test=0.9298
295 epochs, accuracy: training=0.9563, validation=0.9344, test=0.9305
300 epochs, accuracy: training=0.95616, validation=0.9347, test=0.9288
305 epochs, accuracy: training=0.95918, validation=0.9358, test=0.9309
310 epochs, accuracy: training=0.96212, validation=0.9398, test=0.9322
315 epochs, accuracy: training=0.95994, validation=0.9368, test=0.9301
320 epochs, accuracy: training=0.96274, validation=0.9381, test=0.9331
325 epochs, accuracy: training=0.95498, validation=0.9312, test=0.9291
330 epochs, accuracy: training=0.95468, validation=0.9309, test=0.9271
335 epochs, accuracy: training=0.9626, validation=0.939, test=0.9318
340 epochs, accuracy: training=0.95742, validation=0.9334, test=0.9278
345 epochs, accuracy: training=0.9581, validation=0.9353, test=0.9271
350 epochs, accuracy: training=0.95904, validation=0.9337, test=0.9293
355 epochs, accuracy: training=0.9551, validation=0.9311, test=0.9283
360 epochs, accuracy: training=0.9577, validation=0.9351, test=0.9281
365 epochs, accuracy: training=0.96156, validation=0.9364, test=0.93
370 epochs, accuracy: training=0.95884, validation=0.9357, test=0.928
375 epochs, accuracy: training=0.961, validation=0.9361, test=0.9291
380 epochs, accuracy: training=0.95834, validation=0.9369, test=0.9275
385 epochs, accuracy: training=0.96212, validation=0.9349, test=0.929
390 epochs, accuracy: training=0.95938, validation=0.9347, test=0.929
395 epochs, accuracy: training=0.96364, validation=0.9394, test=0.9312
400 epochs, accuracy: training=0.96244, validation=0.9381, test=0.9283
Total values needed to encode all trainable parameters: 50890

